Indicador de registro,Transacción,Documento,Noticia,Ciudad,Año,Autores,Compañía,Data,Cargo,Otros bienes de la compañía,Datos sobre normativa de manejo de caja,Fuentes para la generación del dato,Código documento
CM-1,Tra-1,"[Doc. 1] Escritura, fechada en Toledo el 18 de enero de 1603, por la cual Pedro de Valdés y Antonio Granados conforman una compañía de dos años: del Carnaval de 1603 hasta el Carnaval de 1605.","En el concierto  se dice que el hato y las comedias de ambos autores pasarían a formar parte de los bienes de la compañía. Recientemente, Antonio Granados habría adquirido cinco comedias nuevas por 2450 reales; visto que estas comedias pasan a ser parte de la compañía, Valdés habría pagado a Granados la mitad: 1220 reales. Las cinco compañías son: El cuerdo loco, Los esclavos libres y El príncipe desdeñado de Lope de Vega; El español de más fuerzas de Damián Salustio del Poyo y Roldán Casado de Alonso Remón. ",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,2450 reales [inversión inicial utilizada para cinco comedias],X,Hato y comedias de los autores Antonio Granados y Pedro de Valdés. Cinco comedias nuevas que han costado 2450 reales.,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 71-76).",[Doc. 1]
CM-2,Tra-2,"[Doc. 1] Escritura, fechada en Toledo el 18 de enero de 1603, por la cual Pedro de Valdés y Antonio Granados conforman una compañía de dos años: del Carnaval de 1603 hasta el Carnaval de 1605.",En el concierto se dice que cada uno de ellos recibiría por representación 4 reales de la caja de la compañía. ,Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,8 reales [por representación],X,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 71-76).",[Doc. 1]
CM-3,Tra-3,"[Doc. 1] Escritura, fechada en Toledo el 18 de enero de 1603, por la cual Pedro de Valdés y Antonio Granados conforman una compañía de dos años: del Carnaval de 1603 hasta el Carnaval de 1605.","En el concierto se dice que, luego de cada representación, se depositaría 50 reales en la caja. Este dinero estaría destinado a los gastos de la compañía. Se designa a Valdés como encargado de la contabilidad. ",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,50 reales [por representación],X,X,Sí,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 71-76).",[Doc. 1]
CM-4,Tra-4,"[Doc. 1] Escritura, fechada en Toledo el 18 de enero de 1603, por la cual Pedro de Valdés y Antonio Granados conforman una compañía de dos años: del Carnaval de 1603 hasta el Carnaval de 1605.",En el concierto se define como pena en caso de incumplimiento de responsabilidades: 200 ducados (2200 reales).  ,Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,[hipotético] 2200 reales [en caso de incumplimiento de responsabilidades],X,X,Sí,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 71-76).",[Doc. 1]
CM-5,Tra-5,"[Doc. 2] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Simón Gutiérrez, vecino de Toledo, se compromete a representar por dos años en la compañía de Antonio Granados y Pedro de Valdés. ","En la escritura se dice que Simón Gutierrez tiene que representar lo que se le ordenara y viajar a donde se le ordenara. Se le pagaría: 10 reales por cada representación, 3 reales de ración diaria, y por el Corpus Christi ""lo acostumbrado"". La compañía cubriría sus gastos de viajes. ",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,10 reales [por representación]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,X,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 80).",[Doc. 2]
CM-6,Tra-6,"[Doc. 3] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Francisco de Ribera, vecino de Sevilla, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Francisco de Ribera debe representar: “todas las comedias, entremeses y artes sin límite alguno”. Se le pagaría: 11 reales por cada representación, 4 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,11 reales [por representación]; 4 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,X,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 81).",[Doc. 3]
CM-7,Tra-7,"[Doc. 4] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Cristóbal López, vecino de Madrid, se compromete a trabajar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Cristóbal López debe trabajar “haciendo los teatros y todo lo que más se me ordenare tocante a las representaciones y guardando el hato de manera que no falte cosa alguna”. López asegura que dará cuenta de todo a Pedro de Valdés y que, si faltara algo, él mismo pagará su valor. Se le pagaría: 3 reales por cada representación, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,3 reales [por representación]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,Cristóbal López es el encargado del hato de la compañía,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 81-82).",[Doc. 4]
CM-8,Tra-8,"[Doc. 5] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Andrés de Lastra, vecino de Murcia, se compromete a representar por un año en la compañía de Antonio de Granados y Pedro de Valdés. Es decir, trabajaría en la compañía desde la firma de este contrato hasta el Carnaval de 1604. ","En la escritura se dice que Andrés de Lastra debe representar en “todas representaciones, comedias y entremeses públicas y secretas” que le ordenaran y viajar a donde le ordenaran. Se le pagaría: 11 reales por cada representación, 4 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,11 reales [por representación]; 4 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,X,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 82).",[Doc. 5]
CM-9,Tra-9,"[Doc. 6] Escritura, fechada en Toledo el 13 de febrero de 1603, por la cual Antonio de Esquivel, vecino de Zaragoza, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Antonio de Esquivel se compromete a representar en ""todas las representaciones y entremeses y comedias públicas e secretas y en todas las partes que me ordenare"". Se le pagaría: 8 reales por cada representación, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,8 reales [por representación]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,X,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 82-83).",[Doc. 6]
CM-10,Tra-10,"[Doc. 7] Escritura, fechada en Toledo el 14 de febrero de 1603, por la cual Andrés Rodríguez, vecino de Toledo, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Andrés Rodríguez se compromete a representar “de simple, y de todo lo demás que se me ordenare en todas las comedias y entremeses, públicos y secretos, e partes que me ordenare"". Se le pagaría: 8 reales por cada representación el primer año y 10 reales el segundo año, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,1603,Antonio Granados y Pedro de Valdés,AG-PV,X,"8 reales [por representación el primer año], 9 reales [por representación el segundo año]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes",X,No,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 83).",[Doc. 7]
