Indicador de registro,Transacción,Documento,Noticia,Ciudad,Encargo,Año,Monto a pagar,Pagador,Beneficiario ,Compañía,Fuentes para la generación del dato,Códigos documentos,Ración diaria,Días de ración en un año,Pago por representación,Número de representaciones  por año ,Número estimado de representaciones por año
CS-1,Tra-2,"[Doc. 1] Escritura, fechada en Toledo el 18 de enero de 1603, por la cual Pedro de Valdés y Antonio Granados conforman  una compañía de dos años:  del Carnaval de 1603 hasta el Carnaval de 1605.",En el concierto se dice que cada uno de ellos recibiría por representación 4 reales de la caja de la compañía. ,Toledo,Cumplir su función de autores de la compañía,1603,4 reales cada uno [por representación],Antonio Granados y Pedro de Valdés,Antonio Granados y Pedro de Valdés,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 71-76).",[Doc. 1],,,4,,
CS-2,Tra-5,"[Doc. 2] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Simón Gutiérrez, vecino de Toledo, se compromete a representar por dos años en la compañía de Antonio Granados y Pedro de Valdés. ","En la escritura se dice que Simón Gutiérrez tiene que representar lo que se le ordenara y viajar a donde se le ordenara. Se le pagaría: 10 reales por cada representación, 3 reales de ración diaria, y por el Corpus Christi ""lo acostumbrado"". La compañía cubriría sus gastos de viajes. ",Toledo,Representar lo que se le ordenara y viajar a donde se le ordenara,1603,10 reales [por representación]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,Antonio Granados y Pedro de Valdés,Simón Gutiérrez,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 80).",[Doc. 2],3,,10,,
CS-3,Tra-6,"[Doc. 3] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Francisco de Ribera, vecino de Sevilla, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Francisco de Ribera debe representar: “todas las comedias, entremeses y artes sin límite alguno”. Se le pagaría: 11 reales por cada representación, 4 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,"Representar “todas las comedias, entremeses y artes sin límite alguno”",1603,11 reales [por representación]; 4 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,Antonio Granados y Pedro de Valdés,Francisco de Ribera,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 81).",[Doc. 3],4,,11,,
CS-4,Tra-7,"[Doc. 4] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Cristóbal López, vecino de Madrid, se compromete a trabajar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Cristóbal López debe trabajar “haciendo los teatros y todo lo que más se me ordenare tocante a las representaciones y guardando el hato de manera que no falte cosa alguna”. López asegura que dará cuenta de todo a Pedro de Valdés y que, si faltara algo, él mismo pagará su valor. Se le pagaría: 3 reales por cada representación, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,Trabajar “haciendo los teatros y todo lo que más se me ordenare tocante a las representaciones y guardando el hato de manera que no falte cosa alguna”,1603,3 reales [por representación]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,Antonio Granados y Pedro de Valdés,Cristóbal López,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 81-82).",[Doc. 4],3,,3,,
CS-5,Tra-8,"[Doc. 5] Escritura, fechada en Toledo el 12 de febrero de 1603, por la cual Andrés de Lastra, vecino de Murcia, se compromete a representar por un año en la compañía de Antonio de Granados y Pedro de Valdés. Es decir, trabajaría en la compañía desde la firma de este contrato hasta el Carnaval de 1604. ","En la escritura se dice que Andrés de Lastra debe representar en “todas representaciones, comedias y entremeses públicas y secretas” que le ordenaran y viajar a donde le ordenaran. Se le pagaría: 11 reales por cada representación, 4 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,"Representar en “todas representaciones, comedias y entremeses públicas y secretas” que le ordenaran y viajar a donde le ordenaran",1603,11 reales [por representación]; 4 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,Antonio Granados y Pedro de Valdés,Andrés de Lastra,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 82).",[Doc. 5],4,,11,,
CS-6,Tra-9,"[Doc. 6] Escritura, fechada en Toledo el 13 de febrero de 1603, por la cual Antonio de Esquivel, vecino de Zaragoza, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Antonio de Esquivel se compromete a representar en ""todas las representaciones y entremeses y comedias públicas e secretas y en todas las partes que me ordenare"". Se le pagaría: 8 reales por cada representación, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,"Representar en ""todas las representaciones y entremeses y comedias públicas e secretas y en todas las partes que me ordenare""",1603,8 reales [por representación]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes,Antonio Granados y Pedro de Valdés,Antonio de Esquivel,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 82-83).",[Doc. 6],3,,8,,
CS-7,Tra-10,"[Doc. 7] Escritura, fechada en Toledo el 14 de febrero de 1603, por la cual Andrés Rodríguez, vecino de Toledo, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Andrés Rodríguez se compromete a representar “de simple, y de todo lo demás que se me ordenare en todas las comedias y entremeses, públicos y secretos, e partes que me ordenare"". Se le pagaría: 8 reales por cada representación el primer año y 10 reales el segundo año, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,"Representar “de simple, y de todo lo demás que se me ordenare en todas las comedias y entremeses, públicos y secretos, e partes que me ordenare""",1603,"8 reales [por representación el primer año], 9 reales [por representación el segundo año]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes",Antonio Granados y Pedro de Valdés,Andrés Rodríguez,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 83).",[Doc. 7],3,,"8 [año 1], 9 [año 2]",,
CS-8,Tra-11,"[Doc. 8] Escritura, fechada en Toledo el 14 de febrero de 1603, por la cual Dionisio Vázquez, vecino de Andújar, mayor de 25 años, se compromete a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Dionisio Vázquez se compromete a representar  en “todas las comedias y entremeses, públicos y secretos, y sirviendo y haciendo todo lo demás que se me ordenare, y haciendo carteles, y yendo a todas las partes que fuere la compañía"". Se le pagaría: 5 reales por cada representación el primer año y 6 reales el segundo año, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes.",Toledo,"Representar en “todas las comedias y entremeses, públicos y secretos, y sirviendo y haciendo todo lo demás que se me ordenare, y haciendo carteles, y yendo a todas las partes que fuere la compañía""",1603,"5 reales [por representación el primer año], 6 reales [por representación el segundo año]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes",Antonio Granados y Pedro de Valdés,Dionisio Vázquez,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, p. 84).",[Doc. 8],3,,"5 [año 1], 6 [año 2]",,
CS-9,Tra-12,"[Doc. 9] Escritura, fechada en Toledo el 22 de febrero de 1603, por la cual Juan de Arguello, vecino de Valladolid, se compromete y compromete a su mujer, María Gutiérrez, a representar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Juan de Arguello se compromete y compromete a su mujer, María Gutiérrez, a representar en “todas las comedias y entremeses y representaciones que hiciere [la compañía] en cualesquier partes públicas o secretas”. Se pagaría a la pareja: 14 reales por cada representación, 6 reales de ración diaria. La compañía cubriría sus gastos de viajes. Juan de Arguello se compromete a que su mujer ratifique esta escritura.",Toledo,Representar en “todas las comedias y entremeses y representaciones que hiciere [la compañía] en cualesquier partes públicas o secretas”,1603,14 reales [por representación]; 6 reales [ración diaria]; gastos de viajes,Antonio Granados y Pedro de Valdés,Juan de Arguello y María Gutiérrez ,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 87-88).",[Doc. 9],6 [2 personas],,14 [2 personas],,
CS-10,Tra-13,"Doc. 11] Escritura, fechada en Toledo el 21 de marzo de 1603, por la cual Juan de Corcha, vecino de Madrid, se compromete a trabajar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura se dice que Juan de Corcha se compromete a andar con la compañía “representando, y tañendo, y cantando y haciendo todo lo que se me ordenare en cualesquier representaciones, públicas o secretas, y en cualesquier partes"". Se le pagaría: 7 reales por cada representación el primer año y 8 reales el segundo año, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes. En la escritura se especifica también que Juan de Corcha ha cobrado a cuenta 1230 reales en forma de ""partidas que por mí ha pagado [Pedro de Valdés] de vestidos que ha sacado y ha pagado por mí y dádome"". Corcha se compromete a compensar el pago a cuenta con lo que le correspondería de las primeras representaciones de la compañía.    ",Toledo,"Trabajar en la compañía “representando, y tañendo, y cantando y haciendo todo lo que se me ordenare en cualesquier representaciones, públicas o secretas, y en cualesquier partes""",1603,"7 reales [por representación el primer año], 8 reales [por representación el segundo año]; 3 reales [ración diaria]; paga especial por Corpus Christi [sin especificar]; gastos de viajes",Antonio Granados y Pedro de Valdés,Juan de Corcha,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 84-85).",[Doc. 11],3,,"7 [año 1], 8 [año 2]",,
