Indicador de registro,Transacción,Documento,Noticia ,Ciudad,Año,Encargo,Encargado ,Compañía,Monto a pagar,Fondos,Fuentes para la generación del dato,Códigos documentos
CC-1,Tra-67,[Doc. 15] Acta del Cabildo municipal de la Ciudad de México fechada el 22 de febrero de 1592,"Según el acta, Luis Lagarto había recibido 850 pesos de oro común (6800 reales) por ""la comedia de la fiesta del Corpus Christi"" de 1591.",México,1591,Una comedia,Luis Lagarto,X,6800 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, p. 170)",[Doc. 15]
CC-2,Tra-68,"[Doc. 19][Doc. 20][Doc. 21] Actas del Cabildo municipal de la ciudad de México fechadas el 6 de abril, el 17 de abril y el 6 de junio de 1592","Según las actas, el bachiller Arias Villalobos, después de una serie de negociaciones, representó una comedia nueva en el Corpus de este año por 1000 pesos de oro común (8000 reales). ",México,1592,Una comedia ,Arias de Villalobos,X,8000 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, p. 170)",[Doc. 19][Doc. 20][Doc. 21]
CC-3,Tra-69,[Doc. 16] Acta del Cabildo municipal de la Ciudad de México fechada el 14 de abril de 1593,"Según el acta, el Cabildo acordó con el virrey Luis de Velasco “hacer los tres autos para la fiesta del Corpus Christi, lo cual hace y se obligó Luis Lagarto en 1.000 pesos de oro común (8000 reales)”",México,1593,Tres autos,Luis Lagarto,X,8000 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, pp. 170-171)",[Doc. 16]
CC-4,Tra-70,[Doc. 17] Acta del Cabildo municipal de la Ciudad de México fechada el 28 de mayo de 1593,"Según el acta, el Cabildo decidió en la sesión de dicho día que Luis Lagarto hiciera para el Corpus, además de lo que ya tenía acordado, ""la danza de los gigantes"", por la cual se le pagaría 300 pesos de oro común (2400 reales). Lo que se tenía acordado anteriormente era una comedia por 1000 pesos de oro común (8000 reales). ",México,1593,Una danza de los gigantes,Luis Lagarto,X,2400 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, pp. 170-171)",[Doc. 17]
CC-5,Tra-71,[Doc. 18] Acta del Cabildo municipal de la Ciudad de México fechada el 13 de mayo de 1594,"Según el acta, Luis Lagarto pidió al Cabildo 1300 pesos de oro común (10400 reales) por las comedias que iba a preparar para el Corpus. En el mismo documento, se especifica que Lagarto dio fianzas al respecto y que se comprometió a presentar, antes de la fiesta, una “muestra” de lo que haría; en consecuencia, se ordenó “que el señor Gaspar de Valdés, comisario de la fiesta del Corpus Christi, con la escritura en la mano, vea si ha cumplido Luis Lagarto con lo que está obligado” —la fuente no detalla la cantidad de comedias que Lagarto se comprometió a representar— .",México,1594,Comedias (no se especifica la cantidad),Luis Lagarto,X,10400 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, p. 171)",[Doc. 18]
CC-6,Tra-72,"[Doc. 22][Doc. 23][Doc. 24] Actas del Cabildo municipal de la ciudad de México fechadas el 11 de mayo, el 14 de mayo y el 4 de junio de 1600","Según las actas, se acordó que las representaciones del Corpus de este año estuvieran a cargo de dos compañías, la primera encabezada por Marco Antonio Ferrer y Juan Corral y la segunda por Gonzalo de Riancho y Alonso Velázquez. Ambas compañías tendrían que unirse y colaborar para la representación de dos comedias, una el jueves de Corpus y otra el día de la Octava: “representando cada comedia las dichas dos compañías de farsantes para que se hagan más cumplidamente”. Se pagaría un total de 2000 pesos de oro común (16000 reales) por las dos comedias. Por otro lado, para la misma ocasión, se contrató al maestro de danzas Florián Vargas, a quien se acordó pagar 200 pesos (1600 reales) por ""un carro con danzas y muchas cosas de pólvora y música, como está por la escritura dentro y fuera de la iglesia"" y posteriormente 100 pesos (800 reales) ""por otra danza de doce hombres más"".",México,1601,Dos comedias,Marco Antonio Ferrer y Juan Corral / Gonzalo de Riancho y Alonso Velázquez,MAF-JC / GR-AV,16000 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, pp. 256-257)",[Doc. 22][Doc. 23][Doc. 24]
CC-7,Tra-73,"[Doc. 22][Doc. 23][Doc. 24] Actas del Cabildo municipal de la ciudad de México fechadas el 11 de mayo, el 14 de mayo y el 4 de junio de 1601","Según las actas, además de las comedias, para la misma ocasión, se contrató al maestro de danzas Florián Vargas, a quien se acordó pagar 200 pesos (1600 reales) por ""un carro con danzas y muchas cosas de pólvora y música, como está por la escritura dentro y fuera de la iglesia"" y posteriormente 100 pesos (800 reales) ""por otra danza de doce hombres más"".",México,1601,"Un carro con danzas, música y cosas de pólvora / una danza de doce hombres",Florián Vargas,X,2400 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, pp. 256-257)",[Doc. 22][Doc. 23][Doc. 24]
CC-8,Tra-74,"[Doc. 25][Doc. 26][Doc. 27] Actas del Cabildo municipal de la ciudad de México fechadas el 20, 21 y 24 de mayo de 1602","Según se desprende de las actas, este año hubo problemas porque el Cabildo estaba falto de fondos y los comediantes no aceptaban hacer las representaciones del Corpus por menos de 2000 pesos de oro corriente, que era lo que se había pagado el año anterior. Finalmente, el cabildo acordó con Marco Antonio Ferrer que él se encargaría de sacar dos comedias por 1600 pesos (12800 reales). Las comedias en cuestión serían “la de Santa Leocadia para el día del Santísimo Sacramento, con pasos y sus entremeses y todos los ropajes de seda de Castilla nuevos, que sean en conformidad del personaje que se representare, y la seda se entiende terciopelos, damascos, rasos y tafetanes; y la otra para la octava de Santa Teodora alejandrina”. Marco Antonio Ferrer se compromete, a su vez, a realizar un ensayo de las obras delante del capitular Francisco Escudero de Figueroa, quien tendía que aprobarlas. El cabildo acepta, como parte del trato, prestar por tres meses 300 pesos al comediante "" (RaS, 257) —la fuente no especifica el acuerdo reflejado en cada una de las actas—.",México,1602,Dos comedias,Marco Antonio Ferrer,X,12800 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, p. 257)",[Doc. 25][Doc. 26][Doc. 27]
CC-9,Tra-75,[Doc. 28]  Acta del Cabildo municipal de la ciudad de México fechada el 6 de mayo de 1605,"Según el acta, tras bastantes negociaciones, los comediantes (cuyos nombres no se especifica) accedieron a hacer las dos comedias para el Corpus Christi y la Octava por 1800 pesos de oro común (14400 reales). ",México,1605,Dos comedias,X,X,14400 reales,"Cabildo municipal, sin especificar","Información ubicada en Ramos Smith (2011, p. 257)",[Doc. 28]
CC-10,Tra-76,[Doc. 29][Doc. 30][Doc. 31] Actas del Cabildo municipal de la ciudad de México fechadas el 10 y el 13 de marzo y el 18 de abril de 1608,"Según las actas, el Cabildo estuvo mucho tiempo tratando de negociar rebajas con los comediantes que debían representar para el Corpus Christi. Este año se presentaron ante el cabildo dos compañías: una dirigida por Gonzalo de Riancho y Alonso Velázquez y la otra por Fernando Ramírez. Ambas compañías, en conjunto, pedían un total de 2500 pesos de oro común (20000 reales) para representar dos comedias (una en el Corpus y otra en la Octava). El cabildo se negó a tal petición y, por falta de fondos, algunos capitulares sugirieron que solo se sacaran danzas, lo cual, sin embargo, no logró aprobarse. Se decidió, en cambio, pedir al virrey (Luis de Velasco II) que obligara a los comediantes a que realizaran gratuitamente las representaciones para el Corpus y la Octava debido a lo mucho que se beneficiaban representando en la ciudad el resto del año (RaS, 258) —la fuente no especifica el acuerdo reflejado en cada una de las actas—. Haciendo una revisión del acta capitular del 18 de abril se puede ver que el virrey, finalmente, pidió al corregidor, Garcí López de Espinar, que le dijera cuánto podría costar la fiesta si los comediantes hicieran las comedias sin recibir ganancias. El corregidor habría estimado que serían suficientes alrededor de 1200 pesos (9600 reales). El virrey, ante tal dato, autoriza a que el cabildo utilice de sus fondos de rentas y propios 1700 pesos (13600 reales) para la fiesta: 1200 para el conjunto de las celebraciones del Corpus y la Octava y 500 (4000 reales) para las dos compañías teatrales, si estas aceptaran hacer las obras sin ganancias, para ayudar con los “gastos de adorno de los representantes” (ACM, libro XVII). ",México,1608,"Dos comedias. En el documento se da información sobre lo que se gasta para toda la fiesta y lo que se da a los comediantes, no como pago, sino “gastos de adorno de los representantes”",Gonzalo de Riancho y Alonso Velázquez / Fernando Ramírez,GR-AV / FR,"4000 reales para ayudar a los comediantes con los “gastos de adorno de los representantes”. 13600 reales en total para la fiesta. 9600 para los gastos generales del Corpus y la Octava, aparte de los 4000 para los comediantes. ","Cabildo municipal, fondo de rentas y propios. ","Información ubicada en Ramos Smith (2011, p. 258). Reelaborada a partir de los datos extraídos directamente del Libro XVII de la Actas de Cabildo de México. ",[Doc. 29][Doc. 30][Doc. 31] 
