Indicador de registro,Transacción,Documento,Otros datos para elaborar indicadores ,Ciudad,Años,Categorías,Concepto,Monto,Nota,Compañía,Referencias bibliográficas,Código documentos
IdI-1,Tra-1,"[Doc. 1] Escritura, fechada en Toledo el 18 de enero de 1603, por la cual Pedro de Valdés y Antonio Granados conforman una compañía de dos años: del Carnaval de 1603 hasta el Carnaval de 1605.","En el concierto se dice que el hato y las comedias de ambos autores pasarían a formar parte de los bienes de la compañía. Recientemente, Antonio Granados habría adquirido cinco comedias nuevas por 2450 reales; visto que estas comedias pasan a ser parte de la compañía, Valdés habría pagado a Granados la mitad: 1220 reales. Las cinco compañías son: El cuerdo loco, Los esclavos libres y El príncipe desdeñado de Lope de Vega; El español de más fuerzas de Damián Salustio del Poyo y Roldán Casado de Alonso Remón. ",Toledo,1603,Comedias (texto),"Cinco comedias nuevas. Las cinco compañías son: El cuerdo loco, Los esclavos libres y El príncipe desdeñado de Lope de Vega; El español de más fuerzas de Damián Salustio del Poyo y Roldán Casado de Alonso Remón",2450 reales,X,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 71-76).",[Doc. 1]
IdI-2,Tra-82,"[Doc. 48] Obligación, fechada en Toledo el 21 de marzo de 1603, en la cual Juan de Grajales y su mujer, Catalina de Peralta, vecinos de Madrid, declaran tener una deuda de 1000 reales con Pedro de Valdés. ","En la obligación se detalla que los 1000 reales serían por  ""una saya e ropa de cuerpos de terciopelo negro con tres franjones de oro y alamares y pasamanos todo de oro, e un jubón de tela negra de oro"". La manera de pagar que tendrían sería representando en la compañía. No sabemos cuánto la compañía se obligó a pagarles por su trabajo, pero, por este documento, consta que luego de cada representación los cómicos pagaría a Valdés 10 reales de lo que le deben hasta saldar su deuda. Comenzarían a representar para la compañía en la Pascua Florida. ",Toledo,1603,Vestuario,"Una saya e ropa de cuerpos de terciopelo negro con tres franjones de oro y alamares y pasamanos todo de oro, e un jubón de tela negra de oro",1000 reales,X,AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de Marcos  Álvarez (1997, pp.113-114).",[Doc. 48]
IdI-3,Tra-13,"[Doc. 11] Escritura, fechada en Toledo el 21 de marzo de 1603, por la cual Juan de Corcha, vecino de Madrid, se compromete a trabajar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura, Corcha se compromete a andar con la compañía “representando, y tañendo, y cantando y haciendo todo lo que se me ordenare en cualesquier representaciones, públicas o secretas, y en cualesquier partes"". Se le pagaría: 7 reales por cada representación el primer año y 8 reales el segundo año, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes. En la escritura se especifica también que Juan de Corcha ha cobrado a cuenta 1230 reales en forma de ""partidas que por mí ha pagado [Pedro de Valdés] de vestidos que ha sacado y ha pagado por mí y dádome"". Corcha se compromete a compensar el pago a cuenta con lo que le correspondería de las primeras representaciones de la compañía.    ",Toledo,1603,Pagos a cuenta,Pago a cuenta que la compañía de Pedro de Valdés y Antonio Granados hace al actor Gabriel de Acevedo en forma de vestidos que compran para él,1230 reales,"Juan de Corcha se compromete a compensar paulatinamente el pago a cuenta que se le hace con el salario de las primeras representaciones. Cabe tener en cuenta que su salario por representación, durante el primer año de trabajo en la compañía, está fijado en 7 reales. ",AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 84-85).",[Doc. 11]
IdI-4,Tra-14,"[Doc. 12] Escritura, fechada en Toledo el 21 de marzo de 1603, por la cual Gabriel de Acevedo, vecino de Lisboa, se compromete a trabajar por dos años en la compañía de Antonio de Granados y Pedro de Valdés. ","En la escritura, Corcha se compromete a andar con la compañía “tañendo y cantando en todas las comedias y representaciones que hicieren, públicas o secretas, en cualesquier partes, representando e haciendo todo lo que se me ordenare"". Se le pagaría: 7 reales por cada representación el primer año y 8 reales el segundo año, 3 reales de ración diaria, y por el Corpus Christi “lo acostumbrado”. La compañía cubriría sus gastos de viajes. En la escritura se especifica también que Gabriel de Acevedo ha cobrado a cuenta 984 reales en forma de ""dos vestidos que [Pedro de Valdés] me ha pagado en dineros”. Es decir, Pedro de Valdés ha comprado vestidos para Acevedo. Este se compromete a compensar el pago a cuenta con lo que le correspondería de las primeras representaciones de la compañía.    ",Toledo,1603,Pagos a cuenta,Pago a cuenta que la compañía de Pedro de Valdés y Antonio Granados hace al actor Juan de Corcha en forma de vestidos que compran para él,934 reales,"Gabriel de Acevedo se compromete a compensar paulatinamente el pago a cuenta que se le hace con el salario de las primeras representaciones. Cabe tener en cuenta que su salario por representación, durante el primer año de trabajo en la compañía, está fijado en 7 reales. ",AG-PV,"Información ubicada en DICAT; DICAT extrae el dato de San Román (1935, pp. 88-89).",[Doc. 12]
IdI-5,Tra-83,[Doc 31] Acta del cabildo de la ciudad de México del 18 de abril de 1608.,"En el acta se dice que, según el reporte del corregidor Garcí López de Espinar, resultaría que se podría costear las celebraciones del Corpus y de la Octava con 1200 pesos de oro común (9600 reales) si no se pagara nada de dinero a los comediantes para que sacaran sus comedias. ",México,1608,Corpus Christi. Fiesta,Costo de las celebraciones del Corpus y la Octava sin dar dinero a los comediantes,9600 reales,"Este año las compañías en cuestión son por un lado la de Gonzalo de Riancho y Alonso Velázquez y, por otro, la de Fernando Ramírez",GR-AV / FR,Información ubicada en el Libro XVII de la Actas de Cabildo de México. ,[Doc. 31]
IdI-6,Tra-84,[Doc 31] Acta del cabildo de la ciudad de México del 18 de abril de 1608.,"En el acta se dice que el virrey (Luis de Velasco II), considera que el cabildo de la ciudad de México puede utilizar de su fondo de rentas y propios 1700 pesos de oro común para las fiestas del Corpus y la Octava. 1200 pesos (9600 reales) serían para las celebraciones y 500 pesos (4000 reales) para ayudar a las compañías a pagar los vestuarios. ",México,1608,Corpus Christi. Vestuario,"Ayuda que el cabildo daría para que dos compañías puedan costear los vestuarios de los actores para dos comedias, la del Corpus y la de la Octava",4000 reales,"Este año las compañías en cuestión son por un lado la DE Gonzalo de Riancho y Alonso Velázquez y, por otro, la de Fernando Ramírez",GR-AV / FR,Información ubicada en el Libro XVII de la Actas de Cabildo de México. ,[Doc. 31]
IdI-7,Tra-32,"[Doc. 37] Escritura, fechada en Sevilla el 22 de noviembre de 1605, por la cual Andrés de Arce se compromente a representar por un año, del Carnaval de 1606 al Carnaval de 1607, en la compañía de Juan de Arteaga, Juan Osorio y Antonio Amoroso. –Juan de Arteaga tiene poder otorgado por los otros dos autores de comedias para contratar a los demás mimebros de la compañía.","En la escritura se dice que se pagará a Andrés de Arce: 9 reales por representación y 3 reales de ración diaria. Además, Juan de Arteaga, en nombre de la compañía, asegura a Andrés de Arce que a lo largo del año se harán por lo menos 250 representaciones y se compromete a que, si se hicieran menos, le pagarían la diferencia. Esto significa que, mínimamente, a lo largo del año, se pagaría a Andrés de Arce 3000 reales (12 reales multiplicados por 250 representaciones).  ",Sevilla ,1605,Salarios,Ganancia de un actor por los días de representación en un año en compañía,3000 reales,X,JA-JO-AA,"Información ubicada en DICAT; DICAT extrae el dato de Rodríguez Marín (1914, p.179).",[Doc.37]
IdI-8,Tra-85,"[Doc. 40] Escritura, fechada en Sevilla el 23 de julio de 1575, en la cual Juan del Granado vende a Francisco Hurtado de Córdoba (caballero veinticuatro del Cabildo) un “esclavo de color de membrillo”.", En la escritura se dice que la venta del esclavo se realiza por 50 ducados (550 reales).,Sevilla ,1575,Esclavos,Un esclavo,550 reales,X,X,"Información ubicada en DICAT; DICAT extrae el dato de Bolaños Donoso (1995, p.134).",[Doc. 40]
IdI-9,,,"En los libros de cuentas de las cofradías de la Pasión y la Soledad se registra que el 8 de febrero de 1580 Juan Granado entregó a estas instituciones 200 reales para ayudar con los gastos del corral en el cual él representa. Sabemos, por más información contenida en estos libros, que este corral es el corral de la Cruz. Los 200 reales serían “todo el aprovechamiento que él había de llevar de las entradas de la comedia deste días”. ",Madrid,1580,Ganancias,Ganancia de la venta de entradas para la representación de una comedia ,200 reales,X,JG,"Información ubicada en DICAT; DICAT extrae el dato de Davis y Varey (1997, pp. 54, 77 y 204) y Pellicer (1804, pp. 60 y 71).",[Doc. 41]
IdI-10,,,"En los libros de cuentas de las cofradías de la Pasión y la Soledad se registra que, entre el 29 de noviembre de 1579 y el 16 de febrero de 1580, la compañía de Juan de Granado y Jerónimo Gálvez realizó 48 representaciones. Por otro dato anterior [ver registro IdI-9], sabemos que la ganancia aproximada por la venta de entradas para un representación era de 200 reales. ",Madrid,1579-1580,Ganancias,"Ganancia de la venta de entradas en, más o menos, dos meses y medio de representaciones en los corrales de Madrid",9600 reales,Juan Granado había montado una compañía a principios de año para la temporada 1579-1580 en Sevilla. No se sabe todavía si la compañía que ahora está representando en Madrid es la misma o si aquella se deshizo y Granado fundó otra junto con Jerónimo de Gálvez. ,JG,"Información ubicada en DICAT; DICAT extrae el dato de Davis y Varey (1997, pp. 77 y 80). ",[Doc. 42]
IdI-11,Tra-86,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 pagó 31152 maravedís (916, 23 reales) por los “dos medios carros” de la representación que realiza Ganassa. Se trata del cuerpo de los carros, el cual posteriormente debe ser adornado.  ",Sevilla ,1575,Corpus Christi. Escenografía,"Costo del cuerpo de un carro de representación descrito como ""dos medios carros"".","916, 23 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-12,Tra-87,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,El Cabildo registra que en 1575 pagó 952 maravedís (28 reales) a Pedro Aguirre y Diego Martín por el alquiler de las ruedas para los “dos medios carros” de la representación que realiza Ganassa. ,Sevilla ,1575,Corpus Christi. Escenografía,Alquiler de ruedas para carro de representación,28 reales,X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-13,Tra-88,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 pagó 1499 maravedís (44, 1 reales) por hacer y dehacer los “dos medios carros” de la representación que realiza Ganassa. ",Sevilla ,1575,Corpus Christi. Escenografía,Trabajo de montaje y desmotaje de un carro de representación,"44, 1 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-14,Tra-89,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,El Cabildo registra que en 1575 pagó 6358 maravedís  (187 reales) a Juan Chacón por lo que pintó en los “dos medios carros” de la representación que realiza Ganassa. ,Sevilla ,1575,Corpus Christi. Escenografía,Trabajo de pintura de un carro de representación,187 reales,X,X,"Información ubicada en Jean Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-15,Tra-90,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 pagó 1500 maravedís (44,12 reales) por los lienzos para los “dos medios carros” de la representación que realiza Ganassa. ",Sevilla ,1575,Corpus Christi. Escenografía,Lienzos para carro de representación,"44,12 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-16,Tra-91,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 pagó 3567 (104, 91) maravedís por las 87 varas de angeo para los “dos medios carros” de la representación que realiza Ganassa. 41 maravedís por vara.  ",Sevilla ,1575,Corpus Christi. Escenografía,Ochenta y siente varas de angeo para carro de representación,"104, 91 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-17,Tra-92,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 realizó distintos gastos para para los “dos medios carros” de la representación que realiza Ganassa. El total de estos gastos, como se puede ver en las entradas correspondientes, es de 45028 maravedís (1324,3 reales). ",Sevilla ,1575,Corpus Christi. Escenografía,Costo total del montaje de un carro de representación,"1324, 3 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-18,Tra-93,[Doc. 46] Registros de las deliberaciones de la comisión de Corpus del Cabildo de Sevilla del año 1575.,"Según la lectura de los documentos del Cabildo de Sevilla que realiza Jean Sentaurens y recoge DICAT, este año se habría contratado a Ganassa para que representara un auto en el Corpus Christi. Se contrata también a otros autores para que saquen más autos (en específico a Luis Díaz, Francisco de Segura y Pedro de Montiel). Ganassa habría cobrado por su participación 51000 maravedís (1500 reales). DICAT hace referencia también a que, según los estudios de Sentaurens, el dinero que el Cabildo paga a Ganassa es mucho mayor al que acostumbraba pagar a los autores españoles. –Sentaurens transcribe de los documentos originales los nombres de los autores como: Luys Días, Francisco de Sigura y Montiel. DICAT propone las modernizaciones que usamos también aquí.– El Cabildo también costea el carro de representación para el auto de Ganassa, el cual se describe como “dos medios carros”. Sentaurens da el dato de que se gastó en el carro un total de 45118 maravedís y así lo recoge DICAT. Creemos que es un error pues, el mismo investigador, muestra el desglose de los gastos para el carro que encuentra en el libro de caja y la suma real es de 45028 maravedís (1324,3 reales). ",Sevilla ,1575,Corpus Christi. Representaciones,"Costo total de contratar a Alberto Naselli (Ganassa) para el Corpus Christi: la suma de lo que se paga a él (1500 reales) y lo que cuesta el carro para que realice su representación (1324,35 reales). ","2824, 3 reales",X,X,"Información ubicada en DICAT; DICAT extrae el dato de Sentaurens (1984, pp. 139, 171, 178, 180-181, 190, 198, 217, 1261). Se ha consultado el texto de Sentaures. Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), Papeles Importantes, siglo XVI, tomo 3, vol. 44: registros de las deliberaciones de la comisión de Corpus de 1575 (en el original: registre des délibérations de la comission du Corpus de 1575). ",[Doc. 46]
