Indicador de registro,Siglas,Autores,Temporadas teatrales,España / América
Com-1,AG-PV,Antonio Granados y Pedro de Valdés,De 1603 a 1605,España
Com-2,MAF-JC / GR-AV,Marco Antonio Ferrer y Juan Corral / Gonzalo de Riancho y Alonso Velázquez,Activa en 1601 [desconocemos el intervalo de tiempo],América
Com-3,GA-AR-MR,"Gonzalo de Alarcón, Alonso de Riquelme y Miguel del Rosal Ríos",De 1600 a 1601,España
Com-4,JA-JO-AA,"Juan de Arteaga, Juan Osorio y Antonio Amoroso",De 1606 a 1608,España
Com-5,GP,Gaspar de Porras,De 1606 a 1608,España
Com-6,GA-JR,Gonzalo de Alarcón y Juan Ramírez ,De 1600 a 1601,España
Com-7,GA,Gonzalo de Alarcón,De 1601 a 1602,España
Com-8,JG,Juan Granado,De 1579 a 1580,España
Com-9,JG2,Juan Granado,De 1580 a 1581,España
Com-10,JG-JeG3,Juan Granado y Jerónimo de Gálvez,De 1581 a 1582,España
Com-11,AN,Alberto Naselli (Ganassa),De 1579 a 1581,España
Com-12,AN2,Alberto Naselli (Ganassa),De 1581 a 1582,España
Com-13,AN3,Alberto Naselli (Ganassa),De 1582 a 1583,España
