Indicador de registro,Autores,Referencias bibliográficas
B-1,Francisco de Borja San Román,"Lope de Vega, los cómicos toledanos y el poeta sastre, Madrid, Imprenta Góngora, 1935."
B-2,Maya Ramos Smith,"Actores y compañías en la Nueva España: siglos XVI y XVII, Ciudad de México, Instituto Nacional de Bellas Artes / Consejo Nacional para la Cultura y las Artes (CONACULTA) / Paso de Gato, 2011."
B-3,"Teresa Ferrer Valls, et al. ","DICAT. Diccionario biográfica de actores del teatro clásico español, "
B-4,Francisco Rodríguez Marín,"""Nuevas aportaciones para la historia del histrionismo español en los siglos XVI y XVII"", Boletín de la Real Academia Española, 1, 1914, pp. 60-66, 171-182 y 321-349."
B-5,Piedad Bolaños Donoso,"""Reescritura del nacimiento del corral de «Doña Elvira» (Sevilla) y su actividad dramática: una historia más completa"",  Anales de Literatura Española, 36, pp. 65-108. "
B-6,Fernando Marcos Álvarez ,"Teatro y vida teatral en Badajoz: 1601-1700. Estudio y documentos, Londres, Tamesis Books, Fuentes para la Historia del Teatro en España XXVII, 1997. "
B-7,John Allen,"""El autor de comedias Gaspar de Porres"", en Los teatros comerciales del siglo XVII y la escenificación de la comedia, eds. José M. Ruano de la Haza y John Allen, Madrid, Castalia, Nueva Biblioteca de Erudición y Crítica 8, 1994, pp. 175-180."
B-8,Luis Fernández Martín ,"Comediantes, esclavos y moriscos en Valladolid. Siglos XVI y XVII, Valladolid, Universidad de Valladolid / Caja de Ahorros y Monte Piedad de Salamanca, Estudios y Documentos XLIV, 1988."
B-9,Bernardo García García,"""La compañía de Ganassa en Madrid (1580-1584): tres nuevos documentos"", Journal of Hispanic Research, 1, 3, 1993, pp. 355-370."
B-10,Emilio Cotarelo y Mori ,"""Noticias biográficas de Alberto Naselli, cómico famoso del siglo XVI"", Revista de Archivos, Bibliotecas y Museos, XIX, 1908, pp. 42-61."
B-11,Anastasio Rojo Vega,"Fiestas y comedias en Valladolid. Siglos XVI-XVII, Valladolid, Ayuntamiento de Valladolid, 1999."
B-12,Jean Sentaurens,"Séville et le théâtre. De la fin du Moyen Âge à la fin du XVIIIe siècle, Burdeos, Presses Universitaires, 1984."
B-13,Francisco Asenjo Barbieri,"Migajas de la historia, Publicación quincenal ilustrada, VI, 1889, pp. 3-4"
B-14,Cristóbal Pérez Pastor,"Nuevos datos acerca del histrionismo español en los siglos XVI y XVII. Segunda Serie, Burdeos, Feret, 1914."
B-15,John Falconieri,"""Historia de la commedia dell' arte en España"", Revista de Literatura, XI y XII, 1957, pp. 3-37 y pp. 69-90."
B-16,Charles Davis y John Varey,"Los corrales de comedias y los hospitales de Madrid: 1574-1615. Estudio y documentos, Madrid, Tamesis Books, Fuentes para la Historia del Teatro en España XX, 1997."
B-17,John Allen y José María Ruano de la Haza ,"Los teatros comerciales del siglo XVII y la escenificación de la comedia, Madrid, Castalia, Nueva Biblioteca de Erudición Crítica, 1994"
